,num_bikes_available,station_id,legacy_id,station_status,eightd_has_available_keys,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_disabled,is_installed,is_renting,is_returning,last_update,valet,eightd_active_station_services
176,8,448,448,active,False,0,17,4,1671325743,1,1,1,1,2022-12-18 01:15:16.607891,,
177,5,450,450,active,False,0,60,1,1671325873,1,1,1,1,2022-12-18 01:15:16.607891,,
178,60,453,453,active,False,0,3,4,1671325840,2,1,1,1,2022-12-18 01:15:16.607891,,
179,9,454,454,active,False,0,26,1,1671325242,0,1,1,1,2022-12-18 01:15:16.607891,,
180,38,455,455,active,False,0,49,2,1671325995,0,1,1,1,2022-12-18 01:15:16.607891,,
181,11,456,456,active,False,0,36,3,1671324618,2,1,1,1,2022-12-18 01:15:16.607891,,
182,14,457,457,active,False,0,59,9,1671325779,6,1,1,1,2022-12-18 01:15:16.607891,,
183,38,458,458,active,False,0,7,3,1671325799,0,1,1,1,2022-12-18 01:15:16.607891,,
184,20,460,460,active,False,0,4,5,1671326072,0,1,1,1,2022-12-18 01:15:16.607891,,
185,35,461,461,active,False,0,19,1,1671325242,2,1,1,1,2022-12-18 01:15:16.607891,,
186,58,462,462,active,False,0,17,1,1671326058,1,1,1,1,2022-12-18 01:15:16.607891,,
187,0,464,464,out_of_service,False,0,1,0,1665166826,0,0,0,0,2022-12-18 01:15:16.607891,,
188,40,465,465,active,False,0,14,7,1671325943,1,1,1,1,2022-12-18 01:15:16.607891,,
189,27,466,466,active,False,0,6,6,1671326111,1,1,1,1,2022-12-18 01:15:16.607891,,
190,16,468,468,active,False,0,53,8,1671325534,4,1,1,1,2022-12-18 01:15:16.607891,,
191,27,469,469,active,False,0,58,7,1671325625,0,1,1,1,2022-12-18 01:15:16.607891,,
192,77,470,470,active,False,0,7,7,1671326096,0,1,1,1,2022-12-18 01:15:16.607891,,
193,31,471,471,active,False,0,0,3,1671326093,0,1,1,1,2022-12-18 01:15:16.607891,,
194,15,472,472,active,False,0,39,5,1671323935,1,1,1,1,2022-12-18 01:15:16.607891,,
195,63,473,473,active,False,0,0,15,1671319927,0,1,1,1,2022-12-18 01:15:16.607891,,
196,51,474,474,active,False,0,3,15,1671325013,1,1,1,1,2022-12-18 01:15:16.607891,,
197,3,476,476,active,False,0,61,2,1671325970,0,1,1,1,2022-12-18 01:15:16.607891,,
198,44,477,477,active,False,4,18,37,1671324790,3,1,1,1,2022-12-18 01:15:16.607891,,
199,3,478,478,active,False,0,47,2,1671325775,3,1,1,1,2022-12-18 01:15:16.607891,,
200,6,479,479,active,False,0,22,3,1671326105,2,1,1,1,2022-12-18 01:15:16.607891,,
201,2,480,480,active,False,0,25,1,1671325533,2,1,1,1,2022-12-18 01:15:16.607891,,
202,4,481,481,active,False,0,20,0,1671326080,1,1,1,1,2022-12-18 01:15:16.607891,,
203,74,482,482,active,False,0,1,3,1671326156,1,1,1,1,2022-12-18 01:15:16.607891,,
204,61,483,483,active,False,0,5,2,1671326045,1,1,1,1,2022-12-18 01:15:16.607891,,
205,49,484,484,active,False,0,14,22,1671324990,2,1,1,1,2022-12-18 01:15:16.607891,,
206,6,485,485,active,False,0,31,4,1671325259,2,1,1,1,2022-12-18 01:15:16.607891,,
207,26,486,486,active,False,0,7,12,1671325259,6,1,1,1,2022-12-18 01:15:16.607891,,
208,39,489,489,active,False,0,24,7,1671325750,4,1,1,1,2022-12-18 01:15:16.607891,,
209,75,490,490,active,False,0,15,43,1671325903,3,1,1,1,2022-12-18 01:15:16.607891,,
210,40,494,494,active,False,0,25,6,1671326105,0,1,1,1,2022-12-18 01:15:16.607891,,
211,6,495,495,active,False,0,30,5,1671325373,0,1,1,1,2022-12-18 01:15:16.607891,,
212,54,496,496,active,False,0,7,1,1671326139,3,1,1,1,2022-12-18 01:15:16.607891,,
213,50,497,497,active,False,0,11,15,1671326120,3,1,1,1,2022-12-18 01:15:16.607891,,
214,48,500,500,active,False,0,29,21,1671325501,0,1,1,1,2022-12-18 01:15:16.607891,,
215,18,501,501,active,False,0,63,1,1671324907,1,1,1,1,2022-12-18 01:15:16.607891,,
216,10,502,502,active,False,0,23,6,1671325721,2,1,1,1,2022-12-18 01:15:16.607891,,
217,38,503,503,active,False,0,6,7,1671324660,1,1,1,1,2022-12-18 01:15:16.607891,,
218,13,504,504,active,False,0,40,7,1671325662,1,1,1,1,2022-12-18 01:15:16.607891,,
219,44,505,505,active,False,0,0,14,1671323979,5,1,1,1,2022-12-18 01:15:16.607891,,
220,6,507,507,active,False,0,71,3,1671325970,0,1,1,1,2022-12-18 01:15:16.607891,,
221,3,508,508,active,False,0,19,1,1671324497,2,1,1,1,2022-12-18 01:15:16.607891,,
222,46,509,509,active,False,0,3,3,1671326005,12,1,1,1,2022-12-18 01:15:16.607891,,
223,49,510,510,active,False,0,26,23,1671326037,2,1,1,1,2022-12-18 01:15:16.607891,,
224,6,511,511,active,False,0,37,3,1671326013,0,1,1,1,2022-12-18 01:15:16.607891,,
225,10,512,512,active,False,0,19,2,1671324681,0,1,1,1,2022-12-18 01:15:16.607891,,
226,3,513,513,active,False,0,37,2,1671325615,1,1,1,1,2022-12-18 01:15:16.607891,,
227,5,514,514,active,False,0,39,0,1671325933,3,1,1,1,2022-12-18 01:15:16.607891,,
228,9,515,515,active,False,0,68,0,1671325828,1,1,1,1,2022-12-18 01:15:16.607891,,
229,42,516,516,active,False,0,5,1,1671325111,0,1,1,1,2022-12-18 01:15:16.607891,,
230,37,522,522,active,False,0,36,10,1671323314,2,1,1,1,2022-12-18 01:15:16.607891,,
